epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,epsilon,delta,learning_rate
1,2.298977,0.146402,2.277641,0.1954,1.398967,1e-05,0.13999999999999999
2,2.236214,0.259528,2.17986,0.319,1.744818,1e-05,0.22999999999999995
3,2.070117,0.35211,1.973831,0.2526,2.030776,1e-05,0.31999999999999995
4,2.047627,0.273455,1.783429,0.424,2.282182,1e-05,0.4099999999999999
5,1.992848,0.297434,1.725633,0.4096,2.509586,1e-05,0.5
6,1.732918,0.377625,1.498567,0.4809,2.719617,1e-05,0.49986334167236446
7,1.531149,0.457742,1.425264,0.4889,2.915879,1e-05,0.4994535161233327
8,1.438852,0.480868,1.319161,0.5283,3.101179,1e-05,0.4987709714911256
9,1.389821,0.507898,1.265639,0.5139,3.277296,1e-05,0.4978164541282774
10,1.197301,0.581817,1.445372,0.4933,3.445655,1e-05,0.4965910077855104
11,1.187816,0.585672,1.25414,0.5581,3.607587,1e-05,0.4950959724704086
12,1.072079,0.62595,1.025777,0.6363,3.763196,1e-05,0.49333298298213907
13,1.011645,0.652453,1.040337,0.6393,3.913894,1e-05,0.4913039671238233
14,1.039561,0.645688,0.854005,0.7037,4.060124,1e-05,0.4890111435945127
15,0.856595,0.706846,1.017341,0.6699,4.2022,1e-05,0.48645701956307363
16,0.879642,0.709046,0.899352,0.6918,4.340443,1e-05,0.4836443879266353
17,0.791827,0.73639,0.68458,0.7667,4.475185,1e-05,0.48057632425659735
18,0.70514,0.769108,0.589048,0.7996,4.606772,1e-05,0.4772561834355382
19,0.770226,0.756175,0.616724,0.7959,4.735567,1e-05,0.47368759598869986
20,0.622475,0.803929,0.488568,0.8406,4.861953,1e-05,0.469874464114062
21,0.669944,0.791336,0.674758,0.7874,4.985885,1e-05,0.4658209574153456
22,0.624356,0.811557,0.508908,0.8399,5.106916,1e-05,0.4615315083426128
23,0.536377,0.838696,0.491109,0.8481,5.226426,1e-05,0.45701080734544763
24,0.529516,0.843564,0.539684,0.8349,5.343705,1e-05,0.45226379774401815
25,0.497455,0.854348,0.498519,0.8492,5.458901,1e-05,0.4472956703236286
26,0.471059,0.864577,0.462695,0.8642,5.572923,1e-05,0.44211185765867195
27,0.428518,0.876607,0.454801,0.8635,5.684399,1e-05,0.4367180281721893
28,0.427684,0.87873,0.350161,0.8967,5.795208,1e-05,0.4311200799375327
29,0.404309,0.887343,0.360093,0.8946,5.903598,1e-05,0.42532413422890847
30,0.392569,0.89047,0.335023,0.9016,6.011237,1e-05,0.419336528827854
31,0.364956,0.898379,0.317453,0.9089,6.117228,1e-05,0.41316381109296596
32,0.354873,0.902377,0.303987,0.911,6.221739,1e-05,0.4068127308004606
33,0.352219,0.903468,0.303581,0.914,6.326074,1e-05,0.40029023276339215
34,0.328524,0.909768,0.299298,0.9168,6.427497,1e-05,0.39360344923760177
35,0.324514,0.911735,0.285713,0.9177,6.52892,1e-05,0.38675969212270067
36,0.315713,0.914188,0.306437,0.914,6.629369,1e-05,0.37976644496661477
37,0.319271,0.914627,0.266214,0.9258,6.727744,1e-05,0.3726313547824355
38,0.29765,0.920397,0.257801,0.9275,6.826119,1e-05,0.36536222368652305
39,0.294244,0.920871,0.256975,0.9281,6.923659,1e-05,0.3579670003670063
40,0.289554,0.92171,0.267738,0.9245,7.019024,1e-05,0.3504537713920097
41,0.305208,0.92033,0.259076,0.9271,7.11439,1e-05,0.34283075236710925
42,0.283898,0.924444,0.250868,0.9303,7.209755,1e-05,0.33510627895168865
43,0.281525,0.92545,0.242604,0.9327,7.302492,1e-05,0.32728879774401815
44,0.277677,0.927379,0.236223,0.935,7.394885,1e-05,0.3193868570450231
45,0.277719,0.927783,0.237949,0.934,7.487278,1e-05,0.3114090975108428
46,0.27265,0.929031,0.233334,0.9345,7.579416,1e-05,0.3033642427043996
47,0.268248,0.929852,0.230797,0.936,7.668873,1e-05,0.29526108955631086
48,0.268998,0.930305,0.229384,0.9381,7.75833,1e-05,0.2871084987455749
49,0.26037,0.932913,0.234668,0.9372,7.847787,1e-05,0.27891538501054813
50,0.266372,0.933045,0.230991,0.9359,7.937244,1e-05,0.2706907074008095
51,0.26035,0.933114,0.228469,0.9379,8.024325,1e-05,0.262443459480572
52,0.256844,0.934147,0.225439,0.9385,8.110881,1e-05,0.2541826594943513
53,0.260721,0.934609,0.225843,0.9384,8.197437,1e-05,0.24591734050564873
54,0.253861,0.934638,0.225349,0.939,8.283993,1e-05,0.23765654051942817
55,0.251558,0.936225,0.220298,0.9392,8.370538,1e-05,0.2294092925991906
56,0.25311,0.936115,0.222756,0.9394,8.454228,1e-05,0.22118461498945205
57,0.260118,0.935668,0.221644,0.9391,8.537918,1e-05,0.21299150125442512
58,0.247752,0.93687,0.219508,0.9395,8.621608,1e-05,0.20483891044368918
59,0.241899,0.938302,0.217381,0.9407,8.705297,1e-05,0.19673575729560053
60,0.241112,0.939315,0.218721,0.9395,8.788987,1e-05,0.1886909024891573
61,0.243718,0.938363,0.215448,0.9407,8.871129,1e-05,0.180713142954977
62,0.246935,0.938268,0.216782,0.941,8.951987,1e-05,0.17281120225598198
63,0.240425,0.939496,0.214313,0.9416,9.032844,1e-05,0.16499372104831134
64,0.238662,0.939157,0.215829,0.9417,9.113701,1e-05,0.15726924763289074
65,0.244947,0.9381,0.213543,0.9412,9.194558,1e-05,0.14964622860799034
66,0.238705,0.940197,0.21446,0.9425,9.275416,1e-05,0.14213299963299375
67,0.23324,0.940665,0.212588,0.9414,9.355347,1e-05,0.13473777631347705
68,0.232133,0.941047,0.212442,0.9415,9.433404,1e-05,0.1274686452175645
69,0.246343,0.938814,0.211438,0.9427,9.511461,1e-05,0.12033355503338529
70,0.23289,0.941019,0.212205,0.9421,9.589519,1e-05,0.11334030787729948
71,0.232593,0.941906,0.212445,0.9432,9.667576,1e-05,0.10649655076239828
72,0.230439,0.940798,0.21034,0.942,9.745633,1e-05,0.09980976723660791
73,0.237004,0.940615,0.209909,0.9443,9.82369,1e-05,0.09328726919953945
74,0.237816,0.939542,0.211039,0.9435,9.901155,1e-05,0.08693618890703406
75,0.236249,0.940496,0.210513,0.9438,9.976444,1e-05,0.08076347117214609
76,0.234773,0.9407,0.209466,0.9433,10.051734,1e-05,0.07477586577109151
77,0.231982,0.94133,0.211818,0.9428,10.127023,1e-05,0.06897992006246735
78,0.232233,0.940451,0.210808,0.9425,10.202312,1e-05,0.06338197182781084
79,0.231911,0.941482,0.210315,0.944,10.277601,1e-05,0.05798814234132808
80,0.225615,0.942738,0.210381,0.9439,10.352891,1e-05,0.05280432967637148
81,0.237283,0.941099,0.208908,0.9437,10.42818,1e-05,0.04783620225598194
82,0.232615,0.941687,0.209101,0.9438,10.503416,1e-05,0.04308919265455241
83,0.229736,0.942087,0.20906,0.9447,10.575969,1e-05,0.03856849165738724
84,0.240761,0.940718,0.20767,0.9445,10.648521,1e-05,0.03427904258465442
85,0.225611,0.942833,0.208989,0.9448,10.721074,1e-05,0.03022553588593809
86,0.232768,0.941828,0.208196,0.9446,10.793626,1e-05,0.026412404011300177
87,0.232228,0.940734,0.207594,0.9442,10.866179,1e-05,0.022843816564461893
88,0.235508,0.941057,0.207232,0.945,10.938731,1e-05,0.019523675743402687
89,0.230288,0.941826,0.208756,0.9443,11.011283,1e-05,0.016455612073364736
90,0.229896,0.94234,0.207178,0.9448,11.083836,1e-05,0.013642980436926376
91,0.232438,0.941499,0.207372,0.9442,11.156388,1e-05,0.01108885640548731
92,0.23562,0.941264,0.20695,0.9449,11.227524,1e-05,0.008796032876176729
93,0.231665,0.941088,0.207085,0.9445,11.29737,1e-05,0.006767017017860967
94,0.232995,0.94058,0.207318,0.9448,11.367216,1e-05,0.005004027529591403
95,0.234896,0.941141,0.207527,0.9447,11.437062,1e-05,0.003508992214489556
96,0.224801,0.944671,0.207604,0.9448,11.506908,1e-05,0.0022835458717225506
97,0.234858,0.94192,0.207233,0.9448,11.576754,1e-05,0.001329028508874397
98,0.234729,0.94241,0.207225,0.945,11.6466,1e-05,0.0006464838766673053
99,0.236079,0.940946,0.207278,0.9449,11.716446,1e-05,0.0002366583276355341
100,0.230259,0.941727,0.207264,0.945,11.786292,1e-05,0.0001
